Wavelenght (m);Intensity (counts)
399.702;1577.800049
400.293;1651.5
400.884;1825.699951
401.474;1978.599976
402.065;2363.899902
402.656;3287.600098
403.246;9744.099609
403.837;16105.2998
404.427;11921
405.018;10450
405.608;11160.7998
406.198;15907
406.789;16115.09961
407.379;16105.2998
407.969;16115.09961
408.560;16105.2998
409.150;9730.799805
409.740;7891.299805
410.330;5846.200195
410.920;5164.5
411.511;4393.299805
412.101;1652.300049
412.691;1303.5
413.281;1181.800049
413.871;1114.199951
414.461;949.0999756
415.050;890.2999878
415.640;843.0999756
416.230;801.5
416.820;774.2999878
417.410;766.0999756
417.999;708.7999878
418.589;711.9000244
419.179;701.7999878
419.768;705.7000122
420.358;781.9000244
420.948;811.4000244
421.537;677.7999878
422.127;674.4000244
422.716;683.5
423.305;740.7000122
423.895;774.2000122
424.484;799.2999878
425.073;788.2999878
425.663;812.5999756
426.252;906.4000244
426.841;1002.599976
427.430;1109
428.019;1275
428.609;1505.199951
429.198;1699.199951
429.787;1876.800049
430.376;2184.100098
430.965;2329.5
431.554;2588
432.142;3037.899902
432.731;4298.700195
433.320;8376.900391
433.909;12187.7002
434.498;16105.2998
435.086;15328.59961
435.675;8635.700195
436.264;7715.799805
436.852;8544
437.441;11434.7002
438.030;12415.40039
438.618;13861.5
439.207;16105.2998
439.795;12466.7002
440.383;7532
440.972;6062.899902
441.560;4719
442.148;2252.899902
442.737;2073.100098
443.325;1901.800049
443.913;1707.099976
444.501;1513.5
445.089;1285.199951
445.678;1207.400024
446.266;1125.699951
446.854;1000.5
447.442;934.7000122
448.030;876.5999756
448.618;766.0999756
449.205;761.2000122
449.793;789.2999878
450.381;697.5
450.969;607
451.557;643.7000122
452.144;589.2999878
452.732;678
453.320;598.2000122
453.907;562.2000122
454.495;574.5
455.082;584.2000122
455.670;655.5
456.257;548.5999756
456.845;558
457.432;602.7999878
458.019;539.9000244
458.607;546
459.194;508.5
459.781;526
460.369;518.5999756
460.956;631.2999878
461.543;529
462.130;486.7999878
462.717;473.6000061
463.304;762
463.891;641.9000244
464.478;536.9000244
465.065;516.2999878
465.652;564.4000244
466.239;549.0999756
466.826;513.0999756
467.412;522.7999878
467.999;554.2000122
468.586;536.4000244
469.173;637.0999756
469.759;575.7000122
470.346;557.0999756
470.932;561
471.519;646.2000122
472.105;586.9000244
472.692;616.5
473.278;616.9000244
473.865;613.7999878
474.451;552
475.037;634.7999878
475.624;664.2000122
476.210;598.5999756
476.796;563.5
477.382;658.7000122
477.969;606.7000122
478.555;640
479.141;658.7999878
479.727;667.4000244
480.313;633.2999878
480.899;592.5999756
481.485;576.7000122
482.071;671.7000122
482.657;694.7000122
483.242;705.5999756
483.828;707.5
484.414;637.7000122
485.000;680.4000244
485.585;663.4000244
486.171;621.9000244
486.757;639.7000122
487.342;733.5999756
487.928;698.9000244
488.513;705.5
489.099;788.9000244
489.684;749.7999878
490.269;966.4000244
490.855;3985
491.440;4800.799805
492.025;4738.399902
492.611;4185.799805
493.196;1025.900024
493.781;700.4000244
494.366;763.4000244
494.951;1080.400024
495.536;1776.800049
496.121;1821.099976
496.706;1829.900024
497.291;1344.699951
497.876;845.7999878
498.461;736.5999756
499.046;655.2999878
499.631;618.9000244
500.216;671.0999756
500.800;530.9000244
501.385;550.2000122
501.970;616
502.554;614
503.139;704.2000122
503.724;637.4000244
504.308;706.0999756
504.893;707.7999878
505.477;751
506.062;592.0999756
506.646;521.2999878
